id,type,title,director,cast,country,date_added,release_year,rating,duration_int,duration_type,listed_in,description,score
hs2971,TV Show,Daisy of Love,,,United States,2013-10-03,2009,TV-PG,1,Season,"Reality, Romance","everybody knows her and loves her from ""rock of love season 2"". by popular demand, daisy de la hoya is back and this time staring in her own show, ""daisy of love""",79
hs2972,TV Show,Rock of Love,,,United States,2013-10-03,2007,TV-14,3,Season,"Reality, Romance","since 1986 when mtv introduced the world to the blue-eyed lead singer of poison, women around the world have worshiped bret michaels as a veritable rock god. never out of the spotlight, bret's career is still rocking with poison and as a successful solo artist and the women are still lining up in hopes of a lying down with the sexy star. but the demands of life-on-the-road for the ultimate rocker have taken a toll...on his love life. twenty lucky ladies will get their chance for an all-access pass to bret michaels' heart and to share in all his superstar lifestyle. bret will invite twenty handpicked beautiful women to move into his rock and roll palace in the hollywood hills and compete for his heart. they must win over his mind and his body by proving their love for bret, their passion for rock and their potential to be the perfect ""rock star girlfriend.""",25
hs2973,TV Show,Coppelion,,,Japan,2013-10-02,2013,TV-14,1,Season,"Action, Adventure, Anime","from the team that brought you k comes the new sci-fi action series coppelion, a story of three youths who vow to save the lives of those forsaken by the rest of the world. in the not-so-distant future, a catastrophic event has turned the old capital of japan into a wasteland, forever changing the lives of its people. decades later, three schoolgirls set foot into the now forsaken city. they are the coppelion, genetically engineered humans created by the japan ground self-defense force to operate under the lethal conditions of the contaminated city. trained since birth, the girls must use all of their skills and resources to carry out their one and only mission: to rescue those left behind.",8
hs2974,TV Show,Absolutely Fabulous,,,United Kingdom,2013-10-01,1992,TV-PG,6,Season,"Comedy, International, Sitcom","jennifer saunders leads an all-star cast as the outrageous, fashion-obsessed edina in this multi award-winning comedy. life would be one long party, if only edina's nerdy daughter saffron would stop complaining and start joining in like a normal teenager.",30
hs2975,TV Show,Blackadder,,,"United Kingdom, Australia",2013-10-01,1983,TV-PG,4,Season,"Comedy, International, Sitcom","many great men have helped shape britain's noble heritage. others, like edmund blackadder (rowan atkinson), have not. from coward to cad and back again, edmund surfaces throughout history with an assortment of cunning plans and serpentine banter.",87
hs2976,TV Show,High School USA!,,,United States,2013-09-27,2013,TV-MA,1,Season,"Adult Animation, Comedy","the super positive, millennial students of high school usa! confront all the unique challenges of growing up in this modern world. our gang of kids confronts everything from cyber-bullying to sexting to national adderall shortages. and that’s all before they get home from school where they have to deal with their crazy parents. just regular kids, doing regular things.",51
hs2977,TV Show,Bedlam,,,United Kingdom,2013-09-24,2011,TV-14,2,Season,"Drama, Horror, International","they think bedlam heights is the best address in the world, but little do they know their new home has a harrowing past.",98
hs2978,TV Show,Bleak House,,,"United Kingdom, United States",2013-09-24,2005,TV-PG,1,Season,"Crime, Drama, History","at the heart of this star-studded adaptation of the literary classic by charles dickens is the story of the icily beautiful lady dedlock, who nurses a dark secret, and the merciless lawyer tulkinghorn, who seeks to uncover it.",49
hs2979,TV Show,Lark Rise to Candleford,,,United Kingdom,2013-09-24,2008,TV-PG,4,Season,"Drama, International, Romance","lark rise, a small hamlet holding on to the past, and candleford, a small market town bustling into the future, have a complicated relationship which is seen through the eyes of laura, a young girl who visits both communities.",71
hs2980,TV Show,New Tricks,,,United Kingdom,2013-09-24,2006,TV-14,12,Season,"Comedy, Crime, Drama","a team of retired detectives with over 80 years service between them and very distinct personalities is recruited to re-examine unsolved crimes. adapting to the new touchy-feely 21st-century isn't easy, as the three discover with plenty of comic results.",38
hs2981,TV Show,Upstairs Downstairs,,,United Kingdom,2013-09-24,2011,TV-14,2,Season,"Drama, International","revival of the iconic '70s series set in a london townhouse in the late 1930s. when rose returns to eaton place as housekeeper she soon finds that in both 'upstairs' and 'downstairs' worlds lie a labyrinth of secrets, lies and scandal.",46
hs2982,TV Show,Whitechapel,,,United Kingdom,2013-09-24,2009,TV-14,4,Season,"Crime, Drama, International","modern whitechapel is experiencing déjà vu with a series of murders that exactly copy those of perpetrated by jack the ripper. can detective chandler, a rookie when it comes to murder cases, bring safety back to the streets of whitechapel?",85
hs2983,Movie,(Sub) Legend of Heroes: Trails in the Sky,,,,2013-08-31,2011,PG-13,84,min,"Anime, International, Science Fiction","ten years ago, an invasion by the erebonians almost shattered the kingdom of liberl. for estelle bright it’s all ancient history. but history repeats; as estelle and her brother find themselves in the wrong place when mayhem breaks out.",55
hs2984,TV Show,Clannad,,,Japan,2013-08-20,2009,TV-14,1,Season,"Anime, Drama, International","tomoya okazaki is a junior in high school and has had a very rough life. when he was little, his mother died in a car accident which made his father turn to drinking and gambling. due to his father's behavior, tomoya and his father do not get along and tomoya has become a delinquent. one day tomoya meets a girl named nagisa, and they start to hang out together. tomoya is now beginning to think his life is about to change because of his new friend.",87
hs2985,TV Show,Elfen Lied,,,Japan,2013-08-09,2009,TV-MA,1,Season,"Anime, Drama, International","lucy is a psychopathic killer with powers beyond any humans. nyu is a helpless child with no memories. both could not be farther apart, but both find themselves inside the same body. two students that have taken in nyu find their world being turned around as the government sets out to kill lucy. a strange story of romance and chaos as innocence and darkness collide in a series like nothing you’ve ever seen.",46
hs2986,TV Show,Danganronpa: The Animation,,,Japan,2013-07-12,2013,TV-MA,1,Season,"Anime, International","hope's peak academy is an elite private school that only accepts the very best. the hallowed halls are ruled by the sadistic administrator monobear, who declares that the only way to pass the class is by sending a fellow student home in a body bag.",86
hs2987,TV Show,Blood Lad,,,Japan,2013-07-07,2013,TV-14,1,Season,"Action, Adventure, Anime","staz is one of the toughest vampires in the demon world. but unlike his ancestors, he finds being a vampire to be a serious pain and prefers to spend his time watching anime and playing video games instead. when a japanese girl named fuyumi wanders into his territory, staz cannot hide his excitement at finally meeting a living human from his favorite culture. unfortunately, fuyumi dies after being swallowed by a monster, leaving her bare soul behind. staz vows to fuyumi that he will bring her back to life by any bloody means necessary.",84
hs2988,TV Show,Sonic X,,,Japan,2013-06-29,2003,TV-Y7,3,Season,"Adventure, Anime, International","during a mission on mobius to rescue cream the rabbit and cheese the chao from dr. eggman's headquarters, sonic and his friends are caught in an explosion that transports them to another dimension occupied by humans.",13
hs2989,TV Show,Uta no Prince Sama,,,Japan,2013-06-27,2013,TV-14,2,Season,"Anime, Comedy, International","haruka has a chance to take the entrance exam for saotome academy for the performing arts,she is close to her dream of composing songs for her favorite singer hayato. with tough competition being a writer, haruka is paired with one of six male singers. just to make things more complicated, writers and singers are not allowed to become romantically involved! can one girl and six young men learn to make beautiful music together in a platonic sense?",94
hs2990,TV Show,Shameless (UK),,,United Kingdom,2013-06-16,2004,TV-14,11,Season,"Comedy, Drama, International","meet the gallagher family as they experience life on the edge in a blur of sexual adventures, triumphs, love, scams and petty crime on a manchester housing estate. just be thankful they're not your neighbours.",43
hs2991,TV Show,City Homicide,,,Australia,2013-04-03,2007,TV-14,5,Season,"Crime, Drama, International","a committed and resourceful team of fearless homicide cops investigate action-packed murder mysteries and solve them with hard work, intuition and panache.",53
hs2992,TV Show,I Love Lucy,,,United States,2012-12-26,1951,TV-G,6,Season,"Classics, Comedy, Family","lucy ricardo is a scatterbrained housewife whose husband, ricky, is a bandleader at a nightclub. lucy and ricky's best friends are landlords fred and ethel mertz who often become unwitting participants in lucy's get-rich-quick and other wild schemes. from sneaking into ricky's shows to hiding household indiscretions, lucy's antics have held audiences' attention for decades and have made her one of tv's most beloved characters.",76
hs2993,TV Show,McLeod's Daughters,,,Australia,2012-12-24,2001,TV-PG,8,Season,"Drama, International, Romance",mcleod's daughters tells the story of two sisters who are reunited when they inherit a vast outback cattle property in south australia. thrown together after 20 years apart they pull together an all-female workforce and commit to an extraordinary life at drover's run.,13
hs2994,Movie,Amy Winehouse: A Final Goodbye,,,United Kingdom,2012-12-13,2011,71 min,,,"Documentaries, Music",a final goodbye is an intimate look into the life and times of amy winehouse from her rise to pop superstardom through to the inner demons that inspired her work and eventually caused her untimely death.,22
