id,type,title,director,cast,country,date_added,release_year,rating,duration_int,duration_type,listed_in,description,score
ds89,TV Show,Ready for Preschool,,,,2021-09-29,2019,TV-Y,2,Season,"Kids, Music",the love of learning begins with disney junior!,3
ds90,TV Show,Rolie Polie Olie,,"Cole Caplan, Kristen Bone, Robert Smith, Catherine Disher, Adrian Truss, Len Carlson","Canada, United States, France",2021-09-29,1998,TV-Y,5,Season,"Animation, Science Fiction",rolie polie olie’s life and adventures center on his robo-family.,52
ds91,TV Show,Star Wars Galaxy of Sounds,,,,2021-09-29,2021,TV-PG,1,Season,"Animation, Anthology, Science Fiction","""star wars galaxy of sounds"" immerses audiences in the nostalgic ambience of a galaxy far, far away.",70
ds92,TV Show,The Hatcher Family Dairy,,,,2021-09-29,2021,TV-14,1,Season,"Animals & Nature, Docuseries, Reality","the hatcher family enjoys a nonstop circus of animals, farming and family.",87
ds93,TV Show,The Simpsons,,"Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith, Hank Azaria, Pamela Hayden",United States,2021-09-29,1989,TV-PG,32,Season,"Animation, Comedy","the world’s favorite nuclear family, in the award-winning, history-making series.",80
ds94,Movie,A Spark Story,"Jason Sterman, Leanne Dare","Apthon Corbin, Louis Gonzales",,2021-09-24,2021,TV-PG,88,min,Documentary,two pixar filmmakers strive to bring their uniquely personal sparkshorts visions to the screen.,93
ds95,Movie,Spooky Buddies,Robert Vince,"Tucker Albrizzi, Diedrich Bader, Ameko Eks Mass Carroll, Max Charles, Tim Conway, Jennifer Elise Cox","United States, Canada",2021-09-24,2011,G,93,min,"Comedy, Fantasy, Kids",the puppies go on a spooky adventure through a mysterious haunted mansion in this fur-raising flick.,75
ds96,Movie,The Fault in Our Stars,Josh Boone,"Shailene Woodley, Ansel Elgort, Laura Dern, Sam Trammell, Nat Wolff, Willem Dafoe",United States,2021-09-24,2014,PG-13,127,min,"Coming of Age, Drama, Romance",hazel and gus share a love that sweeps them on an unforgettable journey.,95
ds97,TV Show,Dog: Impossible,,Matt Beisner,United States,2021-09-22,2019,TV-PG,2,Season,"Animals & Nature, Docuseries, Family",matt beisner uses unique approaches to modifying canine behavior and focuses on each animal’s needs.,65
ds98,TV Show,Spidey And His Amazing Friends,,"Benjamin Valic, Lily Sanfelippo, Jakari Fraser, Dee Bradley Baker, Melanie Minichino",United States,2021-09-22,2021,TV-Y,1,Season,"Action-Adventure, Animation, Kids",spidey teams up with pals to become the spidey team!,49
ds99,TV Show,Star Wars: Visions,,,,2021-09-22,2021,TV-PG,1,Season,"Action-Adventure, Animation, Anime",an animated anthology celebrating star wars through the lens of the world’s best anime creators.,84
ds100,Movie,Confessions of a Shopaholic,P.J. Hogan,"Isla Fisher, Hugh Dancy, Joan Cusack, John Goodman, John Lithgow, Kristin Scott Thomas",United States,2021-09-17,2009,PG,106,min,"Comedy, Romance, Romantic Comedy",becky writes a personal finance column en route to a high-fashion mag job.,54
ds101,Movie,Descendants: Royal Wedding,Salvador Simó,"Dove Cameron, Sofia Carson, Booboo Stewart, Mitchell Hope, Sarah Jeffery, Melanie Paxson",,2021-09-17,2021,TV-G,22,min,"Animation, Fantasy, Musical",mal and ben’s wedding is finally here!,74
ds102,Movie,Disney's Broadway Hits at London's Royal Albert Hall,Jay Hatcher,"John Barrowman, Ashley Brown, Merle Dandridge, Trevor Dion Nicholas, Jade Ewen, Alton Fitzgerald White",,2021-09-17,2016,TV-G,116,min,"Concert Film, Music",experience the magic of disney on broadway in an unforgettable night of music.,77
ds103,Movie,Flooded Tombs of the Nile,Katie Bauer Murdock,Devin E. Haqq,,2021-09-17,2021,TV-PG,44,min,Documentary,archaeologists dive into a pyramid flooded by the nile to search for a king’s burial.,19
ds104,Movie,Jade Eyed Leopard,,Jeremy Irons,,2021-09-17,2020,TV-PG,44,min,"Animals & Nature, Documentary","jade eyed leopard follows a leopard, toto, throughout the first three years of her life.",99
ds105,Movie,Nona,Louis Gonzales,,,2021-09-17,2021,G,9,min,"Animation, Comedy, Family",a grandmother's plan for a day alone is upended by an unexpected visit from her granddaughter.,98
ds106,Movie,Smoky Mountain Park Rangers,,Peter Jessop,,2021-09-17,2021,TV-PG,42,min,"Animals & Nature, Documentary",park rangers protect the wildlife in great smoky mountain national park.,88
ds107,TV Show,Life Below Zero,,"Chip Hailstone, Agnes Hailstone, Sue Aikens, Andy Bassich",United States,2021-09-15,2012,TV-14,16,Season,"Action-Adventure, Animals & Nature, Docuseries","experience life deep in alaska where the primal way lives on – brave the wild, fight the freeze.",83
ds108,TV Show,Miraculous: Tales Of Ladybug & Cat Noir,,"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Mela Lee, Max Mittelman, Carrie Keranen","France, South Korea, Japan, United States",2021-09-15,2015,TV-Y7,1,Season,"Action-Adventure, Animation, Fantasy",superheroes ladybug and cat noir protect the city.,71
ds109,TV Show,Unknown Waters with Jeremy Wade,,Jeremy Wade,,2021-09-15,2021,TV-14,1,Season,"Animals & Nature, Docuseries","angler and adventurer, jeremy wade, explores the greatest river system in the world.",23
ds110,Movie,Far Away From Raven’s Home,,"Raven-Symoné, Issac Ryan Brown, Navia Robinson, Jason Maybaum, Sky Katz, Anneliese van der Pol",,2021-09-10,2021,TV-G,11,min,Comedy,our gang is off for an exotic vacation of a lifetime!,12
ds111,Movie,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,"Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush, Kevin R. McNally, Sam Claflin","United States, United Kingdom",2021-09-10,2011,PG-13,140,min,"Action-Adventure, Fantasy",a woman from his past uses jack to help find the fabled fountain of youth.,66
ds112,Movie,Twenty Something,Aphton Corbin,"Kaylin Price, Ariana Brown, Aliyah Taylor, Janelle LaSalle, Napoleon Highbrou",United States,2021-09-10,2021,PG,11,min,"Animation, Family","adulting is hard. one day you're nailing it, the next you're a stack of kids hiding in a trenchcoat.",21
ds113,TV Show,"Doogie Kamealoha, M.D.",,"Peyton Elizabeth Lee, Emma Meisel, Matthew Sato, Wes Tian, Jeffrey Bowyer-Chapman, Mapuana Makia",United States,2021-09-08,2021,TV-PG,1,Season,"Comedy, Coming of Age, Family",a 16-year-old prodigy juggles her budding medical career with the daily challenges of teenage life.,39
ds114,TV Show,"Mira, Royal Detective",,"Leela Ladnier, Utkarsh Ambudkar, Roshni Edwards, Kal Penn, Kamran Lucas",United States,2021-09-08,2020,TV-Y,2,Season,"Animation, Fantasy, Kids",mira is the new royal detective in the land of jalpur!,93
