id,type,title,director,cast,country,date_added,release_year,rating,duration_int,duration_type,listed_in,description,score
as496,Movie,The Painted Hills,"Howard Kress, Harold F. Kress","Paul Kelly, Bruce Cowling, Gary Gray, Art Smith, Ann Doran, Chief Yowlachie, Andrea Virginia Lester, Brown Jug Reynolds, Lassie",,,1951,G,87,min,"Adventure, Drama","lassie to the rescue in this family story set in the 1870's. after years of prospecting, jonathan finally strikes gold. he returns to town only to discover that his partner has since died and left tommy fatherless. he decides to leave shep (played by lassie) with tommy to cheer him up.",72
as497,Movie,The Pains of Being Pure at Heart,,,,,2009,NR,22,min,Music Videos and Concerts,the pains of being pure at heart bring their sugary dose of fuzzy nostalgia to the music hall of williamsburg.,5
as498,Movie,The Owl and the Pussycat,Herbert Ross,"Barbra Streisand, George Segal, Robert Klein, Allen Garfield, Marilyn Chambers",,,1970,G,97,min,Comedy,"a stuffy author enters into an explosive relationship with his neighbor, a foul-mouthed, freewheeling prostitute.",59
as499,Movie,The Over-The-Hill Gang Rides Again,George McCowan,"Walter Brennan, Fred Astaire, Edgar Buchanan, Andy Devine, Chill Wills",,,1970,13+,74,min,"Comedy, Western","in this sequel to the over-the-hill gang (1969), the old-time former texas rangers and comrades-in-arms (brennan, devine, chill wills, and buchanan) join forces this time around to clean up their own hometown. the group decides to sober up an old ranger buddy, a down-and-out drunk formerly known as the baltimore kid (astaire), and restore his reputation. the kid is restored to the job of town marshal of waco, texas, with the old texas rangers signing on as his deputies, in order to restore the town back to its former glory. fred astaire made his tv-movie debut in his only western role.",77
as500,Movie,The Outsider,Timothy Woodward Jr.,"Trace Adkins, Sean Patrick Flanery, Jon Foo, Danny Trejo",,,2019,18+,86,min,"Action, Western","in the 1800s, a railroad worker (jon foo) finds himself on the wrong side of a lawless frontier. as the marshall (country music star trace adkins) attempts to control his corrupt town, tragedy strikes sending the railroad worker on a path of revenge.",100
as501,Movie,The Out of Towners,Arther HIller,"Jack Lemmon, Sandy Dennis, Sandy Baron",,,1970,G,97,min,Comedy,"the top candidate for a prestigious promotion at his company's corporate headquarters in new york city, george, accompanied by his wife gwen is all set to take a bite out of the big apple.",18
as502,Movie,The Orphle Bandits & More Kids Cartoons - Morphle,,,,,2020,ALL,58,min,"Animation, Kids","morphle can morph into anything his human companion mila wants. from dinosaurs to cars, and animals like cats, dogs, and lions! your kids will love these fun, and educational videos for kids! they will learn colors, shapes, numbers, the alphabet, and more! watch these educational and magical cartoons that your kids will surely enjoy!",20
as503,Movie,The Oohlas,,,,,2007,NR,23,min,Music Videos and Concerts,"drenched in thick, hazy guitars, the oohlas set a golden austin afternoon ablaze with their oh-so appropriate brand of sticky, sweet fuzz pop.",10
as504,TV Show,The Office,,"Lucy Davis, Ricky Gervais, Martin Freeman, Mackenzie Crook, Stephen Merchant",,,2003,TV-14,2,Season,Comedy,"season 2 of the multi-award winning comedy set in the slough branch of wenham-hogg paper company in suburban london, starring ricky gervais and steven merchant. change can be stressful, but manager david brent thinks he can handle it all. he's got a new boss, tim has a new office romance, finchy is still a riot, kevin still has eczema and gareth is still the office half-wit.",73
as505,Movie,The Odd Couple,Gene Saks,"Jack Lemmon, Walter Matthau, John Fiedler, Herb Edelman, Monica Evans",,,1968,G,105,min,"Comedy, Drama","two divorced men decide to share a new york apartment. fussy felix, fastidious to a fault. he proves that cleanliness is next to insanity. and oscar, who wreaks havoc on a tidy room with the speed and thoroughness of a tornado.",70
